"Category ID","Name","Custom URL","Image URL"
"7710","Chair Mats","/office/furniture/chair-mats-floor-mats/chair-mats/",""
"7711","File Cabinets","/office/furniture/file-storage-cabinets/file-cabinets/",""
"7712","Partition & Panel Systems","/office/furniture/partitions-panels/partition-panel-systems/",""
"7713","Reception Seating & Sofas","/office/furniture/reception-seating-sofas/",""
"7714","Reception Seating & Sofas","/office/furniture/reception-seating-sofas/reception-seating-sofas/",""
"7715","Labels & Stickers","/office/labels-stickers/",""
"7716","Label Holders","/office/labels-stickers/label-holders/",""
"7717","Furniture Doors","/office/furniture/desks-workstations/furniture-doors/",""
"7718","Utility Drawers","/office/furniture/desks-workstations/utility-drawers/",""
"7719","Safety & Security","/janitorial-sanitation/industrial/safety-security/",""
"7720","Locking Devices","/janitorial-sanitation/industrial/safety-security/locking-devices/",""
"7721","Furniture Hardware","/office/furniture/desks-workstations/furniture-hardware/",""
"7722","Storage Cabinets","/office/furniture/file-storage-cabinets/storage-cabinets/",""
"7723","Eye Protection","/janitorial-sanitation/industrial/safety-security/eye-protection/",""
"7724","Cleaning Tools","/janitorial-sanitation/cleaning-tools/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/y/cleaning%20tools__25480.jpg"
"7725","Cleaning Cloths & Wipes","/janitorial-sanitation/cleaning-tools/cleaning-cloths-wipes/",""
"7726","Ergonomic Protection","/janitorial-sanitation/industrial/safety-security/ergonomic-protection/",""
"7727","Floor & Carpet Care","/janitorial-sanitation/floor-carpet-care/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/i/floor%20%26%20carpet%20care__78599.jpg"
"7728","Floor Pads-Stripping","/janitorial-sanitation/floor-carpet-care/floor-pads-stripping/",""
"7729","Floor Pads-Cleaning, Buffing & Polishing","/janitorial-sanitation/floor-carpet-care/floor-pads-cleaning-buffing-polishing/",""
"7730","Cleaners & Detergents","/janitorial-sanitation/cleaners-detergents/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/u/cleaners%20%26%20detergents__36958.jpg"
"7731","Paint, Graffiti & Gum Removers","/janitorial-sanitation/cleaners-detergents/paint-graffiti-gum-removers/",""
"7732","Glass Cleaners","/janitorial-sanitation/cleaners-detergents/glass-cleaners/",""
"7733","Furniture Cleaners","/janitorial-sanitation/cleaners-detergents/furniture-cleaners/",""
"7734","Stainless Steel Cleaners","/janitorial-sanitation/cleaners-detergents/stainless-steel-cleaners/",""
"7735","All Purpose Cleaners & Degreasers","/janitorial-sanitation/cleaners-detergents/all-purpose-cleaners-degreasers/",""
"7736","Carpet Cleaners","/janitorial-sanitation/floor-carpet-care/carpet-cleaners/",""
"7737","Odor Control","/janitorial-sanitation/odor-control/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/s/odor%20control__81578.jpg"
"7738","Air Fresheners & Odor Eliminators","/janitorial-sanitation/odor-control/air-fresheners-odor-eliminators/",""
"7739","Disinfectants & Sanitizers","/janitorial-sanitation/cleaners-detergents/disinfectants-sanitizers/",""
"7740","Adhesives\Glues","/office/tape-adhesives-fasteners/adhesives-glues/",""
"7741","Chemicals, Lubricants & Paints","/janitorial-sanitation/industrial/chemicals-lubricants-paints/",""
"7742","Lubricants & Penetrants","/janitorial-sanitation/industrial/chemicals-lubricants-paints/lubricants-penetrants/",""
"7743","Cleaning Products","/janitorial-sanitation/industrial/chemicals-lubricants-paints/cleaning-products/",""
"7744","Drain Cleaners","/janitorial-sanitation/cleaners-detergents/drain-cleaners/",""
"7745","Floor Cleaners","/janitorial-sanitation/floor-carpet-care/floor-cleaners/",""
"7746","Floor Strippers","/janitorial-sanitation/floor-carpet-care/floor-strippers/",""
"7747","Soaps & Dispensers","/janitorial-sanitation/soaps-dispensers/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/f/soaps%20%26%20dispensers__14248.jpg"
"7748","Hand Soaps","/janitorial-sanitation/soaps-dispensers/hand-soaps/",""
"7749","Toilet Bowl Cleaners","/janitorial-sanitation/cleaners-detergents/toilet-bowl-cleaners/",""
"7750","Facility Maintenance","/janitorial-sanitation/facility-maintenance/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/q/facility%20maintenance__67384.jpg"
"7751","Insecticides","/janitorial-sanitation/facility-maintenance/insecticides/",""
"7752","Herbicides","/janitorial-sanitation/facility-maintenance/herbicides/",""
"7753","Food","/food-service/food/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/q/food__38758.jpg"
"7754","Meals & Snack Bars","/food-service/food/meals-snack-bars/",""
"7755","Snacks","/food-service/food/snacks/",""
"7756","Gloves & Glove Accessories","/janitorial-sanitation/industrial/safety-security/gloves-glove-accessories/",""
"7757","Mops & Equipment","/janitorial-sanitation/mops-equipment/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/e/janitorial%20%26%20sanitation__75054.jpg"
"7758","Mop Heads","/janitorial-sanitation/mops-equipment/mop-heads/",""
"7759","Head\Face Protection","/janitorial-sanitation/industrial/safety-security/head-face-protection/",""
"7760","Clothing Protection","/janitorial-sanitation/industrial/safety-security/clothing-protection/",""
"7761","Sorbents","/janitorial-sanitation/cleaners-detergents/sorbents/",""
"7762","Apparel","/food-service/apparel/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/v/apparel__34580.jpg"
"7763","Aprons & Bibs","/food-service/apparel/aprons-bibs/",""
"7764","Sweeping Compounds","/janitorial-sanitation/floor-carpet-care/sweeping-compounds/",""
"7765","Chemical Resistant & Reusable Gloves","/food-service/apparel/chemical-resistant-reusable-gloves/",""
"7766","Disposable & Single Use Gloves","/food-service/apparel/disposable-single-use-gloves/",""
"7767","Food Trays, Containers & Lids","/food-service/food-trays-containers-lids/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/x/food%20trays%20containers%20%26%20lids__35611.jpg"
"7768","Food Containers & Lids","/food-service/food-trays-containers-lids/food-containers-lids/",""
"7769","Food Wraps","/food-service/food-wraps/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/k/food%20wraps__60436.jpg"
"7770","Films","/food-service/food-wraps/films/",""
"7771","Desk Pads","/office/desk-accessories-workspace-organizers/desk-pads/",""
"7772","Desktop File Folder Sorters","/office/file-folders-portable-storage-box-files/desktop-file-folder-sorters/",""
"7773","Pencil Cups","/office/desk-accessories-workspace-organizers/pencil-cups/",""
"7774","Bookends","/office/desk-accessories-workspace-organizers/bookends/",""
"7775","Waste Receptacles & Lids","/janitorial-sanitation/waste-receptacles-lids/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/v/waste%20receptacles%20%26%20lids__05380.jpg"
"7776","Indoor Waste Receptacles","/janitorial-sanitation/waste-receptacles-lids/indoor-waste-receptacles/",""
"7777","Vacuum Accessories","/janitorial-sanitation/floor-carpet-care/vacuum-accessories/",""
"7778","Electrical & Lighting","/janitorial-sanitation/industrial/electrical-lighting/",""
"7779","Batteries","/janitorial-sanitation/industrial/electrical-lighting/batteries/",""
"7780","PA Systems","/office/technology/audio-visual-equipment-accessories/pa-systems/",""
"7781","Lecterns","/office/furniture/lecterns/",""
"7782","Lecterns","/office/furniture/lecterns/lecterns/",""
"7783","Safety & Security","/janitorial-sanitation/safety-security/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/f/safety%20%26%20security__49927.jpg"
"7784","Megaphones","/janitorial-sanitation/safety-security/megaphones/",""
"7785","Telephones & Telephone Accessories","/office/technology/telephones-telephone-accessories/",""
"7786","Headset Accessories","/office/technology/telephones-telephone-accessories/headset-accessories/",""
"7787","Listening Centers","/office/technology/audio-visual-equipment-accessories/listening-centers/",""
"7788","Towels & Wipes","/food-service/kitchen-supplies/towels-wipes/",""
"7789","Overhead Projectors","/office/technology/audio-visual-equipment-accessories/overhead-projectors/",""
"7790","Pointers","/office/technology/audio-visual-equipment-accessories/pointers/",""
"7791","Light Bulbs","/janitorial-sanitation/industrial/electrical-lighting/light-bulbs/",""
