source_entity_id,target_entity_id,order status
9295,300042266,waiting
9296,300042267,waiting
9297,300042269,waiting
9299,300042271,waiting
9301,300042274,waiting
9302,300042275,waiting
9303,300042277,waiting
9305,300042279,waiting
9307,300042280,waiting
9310,300042282,waiting
9311,300042283,waiting
9313,300042285,waiting
9315,300042287,waiting
9322,300042288,waiting
9327,300042290,waiting
9328,300042291,waiting
9336,300042292,waiting
9346,300042294,waiting
9348,300042295,waiting
9356,300042297,waiting
9357,300042299,waiting
9359,300042300,waiting
9363,300042301,waiting
9365,300042303,waiting
9366,300042304,waiting
9374,300042306,waiting
9375,300042307,waiting
9386,300042308,waiting
9388,300042309,waiting
9390,300042310,waiting
9392,300042311,waiting
9399,300042313,waiting
9401,300042314,waiting
9404,300042316,waiting
9411,300042317,waiting
9422,300042320,waiting
9442,300042322,waiting
9443,300042324,waiting
9460,300042325,waiting
9461,300042326,waiting
9462,300042327,waiting
9472,300042329,waiting
9481,300042331,waiting
9484,300042332,waiting
9485,300042333,waiting
9488,300042334,waiting
9490,300042335,waiting
9501,300042337,waiting
9504,300042339,waiting
9505,300042340,waiting
9507,300042341,waiting
9518,300042342,waiting
9527,300042344,waiting
9532,300042346,waiting
9535,300042347,waiting
9541,300042348,waiting
9545,300042350,waiting
9546,300042351,waiting
9548,300042354,waiting
9549,300042355,waiting
9554,300042356,waiting
9573,300042358,waiting
9574,300042360,waiting
9576,300042362,waiting
9586,300042363,waiting
9587,300042364,waiting
9589,300042365,waiting
9590,300042366,waiting
9592,300042367,waiting
9594,300042368,waiting
9608,300042369,waiting
9610,300042370,waiting
9611,300042372,waiting
9618,300042374,waiting
9623,300042376,waiting
9629,300042377,waiting
9635,300042378,waiting
9637,300042379,waiting
9640,300042380,waiting
9641,300042381,waiting
9643,300042382,waiting
9644,300042383,waiting
9646,300042384,waiting
9656,300042385,waiting
9657,300042386,waiting
9659,300042387,waiting
9663,300042388,waiting
9667,300042389,waiting
9672,300042390,waiting
9677,300042391,waiting
9681,300042392,waiting
9684,300042394,waiting
9686,300042395,waiting
9689,300042396,waiting
9690,300042398,waiting
9692,300042399,waiting
9700,300042401,waiting
9701,300042402,waiting
9702,300042403,waiting
9705,300042404,waiting
9706,300042405,waiting
9708,300042406,waiting
9711,300042408,waiting
9712,300042410,waiting
9715,300042412,waiting
9716,300042414,waiting
9724,300042415,waiting
9728,300042418,waiting
9732,300042419,waiting
9747,300042420,waiting
9763,300042421,waiting
